2023/11/22 16:05:13 [[::1]:60425] [2023-11-22 16:05:13] POST /exit 1.5327ms
2023/11/22 16:05:28 [[::1]:60425] [2023-11-22 16:05:28] GET /list 0s
2023/11/22 16:05:30 [[::1]:60425] [2023-11-22 16:05:30] GET /list 0s
2023/11/22 16:05:30 [[::1]:60425] [2023-11-22 16:05:30] GET /list 0s
2023/11/22 17:00:28 [[::1]:61137] [2023-11-22 17:00:28] GET /generate-token 1.0009ms
2023/11/22 17:00:45 [[::1]:61137] [2023-11-22 17:00:45] GET /list 0s
2024/01/16 17:25:09 [[::1]:50288] [2024-01-16 17:25:09] GET /list 0s
2024/01/16 17:25:19 [[::1]:50288] [2024-01-16 17:25:19] GET /generate-token 0s
2024/01/16 17:26:39 [[::1]:50288] [2024-01-16 17:26:39] POST /add 0s
2024/01/16 17:26:51 [[::1]:50288] [2024-01-16 17:26:51] GET /list 0s
2024/01/16 17:27:07 [[::1]:50288] [2024-01-16 17:27:07] POST /add 0s
2024/01/16 17:27:12 [[::1]:50288] [2024-01-16 17:27:12] GET /list 0s
2024/01/16 17:27:31 [[::1]:50288] [2024-01-16 17:27:31] POST /add 0s
2024/01/16 17:27:46 [[::1]:50288] [2024-01-16 17:27:46] GET /list 0s
2024/01/16 17:33:07 [[::1]:50426] [2024-01-16 17:33:07] POST /add 0s
2024/01/16 17:33:14 [[::1]:50426] [2024-01-16 17:33:14] GET /list 0s
2024/01/16 19:12:45 [[::1]:51710] [2024-01-16 19:12:45] POST /add 0s
2024/01/16 19:13:00 [[::1]:51710] [2024-01-16 19:13:00] POST /add 0s
